author,book_count
Cтепан Злобин,8
Авзал Кинйәбаев,1
Азамат Ҡәҙерғолов,5
Айгиз Баймөхәмәтов,1
Александр Лизюков,1
Алһыу Бәхтиева,1
Андрей Упит,1
Ағиш Ғирфанов,3
Барый Ноғоманов,3
Булат Рафиҡов,1
Вадим Ҡылысов,2
Вәзих Исхаҡов,1
Гыйлемдәр Рамазанов,1
Гөлли Мөбәрәкова,1
Гөлназ Ҡотоева,1
Гөлнара Мостафина,2
Гөлнур Яҡупова,4
Гөлсирә Гиззәтуллина,1
Гөлсирә Ғиззәтуллина,11
Гөлсирә Ғиззәтуллина-Ғайсарова,1
Гөлсөм Мостафина,2
Гөлфиә Юнысова,1
Денис Бүләков,1
Дилә Булгакова,1
Динис Бүләков,12
Динис Исламов,1
Дәүләт Мәһәҙиев,2
Ева Лисина,1
Евгений Пермяк,1
Елена Коненко,1
"Жәүит Кузеев, Вәли Бикташев",2
Зарема Әхмәтйәнова,3
Зилә Дибаева,1
Зиннур Ураҡсин,1
Зифа Ишмурзина,1
Зифа Ҡадырова,6
Зыя Әхмәтов,2
Зәйнәб Биишева,2
Зөбәржәт Йәнбирҙина,1
Зөлфирә Ҡаҙаҡбаева,4
Зөһрә Бураҡаева,2
Зөһрә Усманова,3
Ибраһим Абдуллин,2
Ибраһим Ғиззәтуллин,2
Илгиз Ғимранов,1
Илгизәр Бураҡаев,1
"Илдар Ғүмәров, Зилә Дибаева",1
Илшат Йомағолов,1
Иршат Теләүембәтов,1
Йыһат Солтанов,6
Йәлил Басаков,2
Камил Йыһаншин,1
Камил Яйыҡбаев,1
Карам Бакиров,1
Кәтибә Кинйәбулатова,1
Лариса Абдуллина,2
Линиза Шакирова,1
Лира Яҡшыбаева,1
Мансаф Ғиләжев,3
Марат Рафиҡов,1
Марат Тулыбаев,1
Марс Әхмәтшин,2
Миләүшә Ғәйфуллина,2
Минеғәле Яҡупов,1
Минйыһан Хәмитова,2
Мирас Иҙелбаев,3
Михаил Авдеев,1
Михаил Шолохов,1
Миҙхәт Ғәйнуллин,2
Миңйыһан Хәлитова,2
Миңлегөл Хисмәтуллина,2
Мостай Кәрим,10
Мәжит Ғафури,1
Мәрйәм Бураҡаева,12
Мәрйәм Күсмәева,2
Мәхмүт Хужин,3
Мәүлет Ямалетдинов,1
Мәүлит Ямалетдинов,1
Мөкәрәмә Саҙыҡова,1
Мөнир Ҡунафин,6
Мөслим Әбсәләмов,1
Мөхтәр Сабитов,1
Мөхтәр Сәғитов,3
Мөхәммәт Хәйҙәров,3
Мөҙәрис Багаев,2
Нажия Игеҙйәнова,1
Нажиә Игеҙйәнова,3
Наза Әхмәҙиева,1
Наил Ғәйетбаев,2
Наилә Ғәләүетдинова,1
Нияз Алсынбаев,5
Ноғман Мусин,8
Нурислам Шәйхулов,1
Олег Ханов,1
Р. Сәлимгәрәева,1
Рамазан Ҡотошев,1
Рамазан Ҡотошов,1
Рафаэль Зиннуров,1
Ринат Камал,6
Ринат Камалов,5
Риф Мифтахов,1
Роберт Байымов,13
Руфина Хәсәнова,1
Рәйлә Сабитова,6
Рәйсә Бикҡолова,1
Рәйсә Биҡҡолова,1
Рәйсә Хәйруллина,1
Рәлис Ураҙғолов,2
Рәмзил Сәлмәнов,5
Рәмзиә Хисамова,2
Рәмил Байбулатов,1
Рәмил Дәүләтҡолов,1
Рәсүл Сәғитов,1
Рәшит Солтангәрәев,10
Рәшит Солтангәрәйев,2
Рөстәм Зарипов,1
Сабир Шәрипов,4
Самат Мөхәмәтйәнов,2
Сара Сәфәрова,4
Сулпан Иманғолов,1
Суфиян Поварисов,3
Сыңғыҙ Айтматов,1
Сәлимйән Бәҙретдинов,2
Сәүиә Сираева,1
Т.Ғиниәтуллин,3
Тайфур Сәғитов,3
Талха Ғиниәтуллин,8
Тамара Ғәниева,2
Таңсулпан Ғарипова,3
Таңһылыу Ғәйнуллина,1
Таһир Таһиров,1
Тимер Йосопов,1
Тимерғәле Килмөхәмәтов,6
Тимерғәли Килмөхәмәтов,1
Түләк Ғирфанов,2
Тәнзилә Дәүләтбирҙина,4
Тәскирә Даянова,2
Төхвәт Йәнәби,1
Ф. Акбулатова,1
Факил Мырҙаҡаев,1
Фаҡил Мырҙаҡаев,1
Финә Латыпова,2
Фирҙәт Ғәлиев,1
Фирҙәүиси,1
Фирүзә Ғатауллина,1
Флүр Ғазин,3
Флүр Ғәлимов,2
Фәйзи Ғүмәров,2
Фәниҙә Исхаҡова,2
Фәрзәнә Аҡбулатова,16
Фәриҙә Ситдиҡова,2
Фәрүәз Урманшин,3
Хәбир Дауытов,3
Хәйҙәр Тапаҡов,6
Хәмит Яруллин,1
Хөснулла Түләков,1
Шакир Янбаев,6
Шамил Хажиәхмәтов,2
Шәриф Бикҡол,1
Шәүлиә Зөлҡәрнәева,1
Шәүҡәт Макулов,1
Юлай Зарипов,1
Юсупова Альфира Файзрахмановна,1
Яныбай Хамматов,4
Ғабдулла Байбурин,1
Ғабдулла Әхмәтшин,1
Ғариф Ғүмәр,1
Ғата Имаев,2
Ғаян Лоҡманов,4
Ғәйфулла Вәлиев,9
Ғәлим Дәүләди,1
Ғәлим Дәүләтов,2
Ғәлим Хисамов,5
Ғәлимнур Бикбулатов,1
Ҡол Ғәли,8
Һәҙиә Дәүләтшина,5
Ә.М.Муллағолова,1
Әкрәм Бейешев,3
Әкрәм Вәли,2
Әмир Ҡотлозаманов,1
Әмир Әминев,7
Әнисә Таһирова,1
Әнүр Ғибәҙәтов,1
Әсхәт Мортазин,4
Әсҡәт Мортазин,1
Әхиәр Хәкимов,16
Әхмәр Хисамов,1
Әхмәр Үтәбай,2
Әхмәт Әһлиуллин,1
Әхнәф Байрамов,1
Әхәт Мортазин,5
