№,Автор,Название стихотворения,Возрастная группа,URL
1,Мостай Кәрим,Ҡайын япрағы тураһында,6-10 лет,https://www.youtube.com/watch?v=8dLracmXur0
2,Рәми Ғарипов,Курай,16 - 25 лет,https://www.youtube.com/watch?v=AZAXJUiQgL8
3,Мостай Кәрим,Билдәһеҙ һалдат,6-10 лет,https://www.youtube.com/watch?v=sOzaBXeWnyo
4,Мостай Кәрим,Ләйсән ямғыры,11-15 лет,https://www.youtube.com/watch?v=mvnxgUZd13k
5,Абдулхаҡ Игебаев,Гумер юлы,старше 25 лет,https://www.youtube.com/watch?v=shdMjhkYLOw
6,Фания Чанышева,Ана хаты,старше 25 лет,https://www.youtube.com/watch?v=rNvo6T5L9ns
7,Кадим Аралбай,Башкортостан— аҡ тирмәләр иле,11-15 лет,https://www.youtube.com/watch?v=qq7qzqlPIro
8,Аҡмулла,"Башҡорттарым уҡыу кәрәк, уҡыу кәрәк",6-10 лет,https://www.youtube.com/watch?v=RLbxvHBLNUA
9,Эдгар Вильданов,Театр,старше 25 лет,https://www.youtube.com/watch?v=7uc6EQqSblw
10,Р.Ниғмәти,Нимә ул Ватан?,6-10 лет,https://www.youtube.com/watch?v=d-spA0y9co8
11,Ф.Туғыҙбаева,Әсә зары,6-10 лет,https://www.youtube.com/watch?v=Suy1q8CgePs
12,Сафуан Әлибаев,Турғай,6-10 лет,https://www.youtube.com/watch?v=l9mhfggFyW8
13,Ф.Туғыҙбаева,Кремль,6-10 лет,https://www.youtube.com/watch?v=TQK_4dYgVk8
14,Ф.Туғыҙбаева,Кремль,6-10 лет,https://www.youtube.com/watch?v=HeCsOwKHX4g
15,Равиль Нигматуллин,Тыуған ерем,11-15 лет,https://www.youtube.com/watch?v=ou8QNAtj5bc
16,Кәтибә Кинйәбулатова,Өҙөлгән сәскә үҫмәй,6-10 лет,https://www.youtube.com/watch?v=T7LWzvLZ_qw
17,Назар Нажми,Ватан,6-10 лет,https://www.youtube.com/watch?v=XNQPrePbYpg
18,Рәсимә Ураҡсина,Йыхандагы бишегем,6-10 лет,https://www.youtube.com/watch?v=zwtXBXSYcMM
19,Рәми Ғарипов,Тыуған тел,6-10 лет,https://www.youtube.com/watch?v=G2LXQDUvhmk
20,З. Кутлугильдина,Олатайым ветеран,6-10 лет,https://www.youtube.com/watch?v=-DpdHrjzGZs
21,Мостай Кәрим,"Тупрағым, һауам, һыуҙарым",11-15 лет,https://www.youtube.com/watch?v=ZV8oaegifyI
22,Рафаэль Сафин,Ҡыр ҡаҙҙары,11-15 лет,https://www.youtube.com/watch?v=AXBgRZxT0a4
23,Руфина Байназарова,Мин үҙемде яратам,0-5 лет,https://www.youtube.com/watch?v=0PFUtIjRgTI
24,Мостай Кәрим,Сәсән,старше 25 лет,https://www.youtube.com/watch?v=ixj_ACe-DxA
25,Рәми Ғарипов,Тыуған тел,старше 25 лет,https://www.youtube.com/watch?v=urV2KOLtR0c
26,Мостай Кәрим,Ҡабаланма ҡартлыҡ,старше 25 лет,https://www.youtube.com/watch?v=CeGNiryY0HM
27,Рафаэль Сафин,Ҡыр ҡаҙҙары,старше 25 лет,https://www.youtube.com/watch?v=ihq1DxbWpZs
28,М. Иксанов,Усым,старше 25 лет,https://www.youtube.com/watch?v=1WsjmIcXcfw
29,Баязит Бикбай,Туган тел,старше 25 лет,https://www.youtube.com/watch?v=t48C-O6qMw0
30,Мостай Кәрим,Билдәһеҙ һалдат,6-10 лет,https://www.youtube.com/watch?v=zXFN3HjLwCo
31,Кәтибә Кинйәбулатова,Әсә күңеле,6-10 лет,https://www.youtube.com/watch?v=g7TR-dHLJvk
32,Мостай Кәрим,Әнием чирләгәндә,16-25 лет,https://www.youtube.com/watch?v=8r4h35I1_T8
33,Мостай Кәрим,Өсөнсө көн тоташ ҡар яуа,11-15 лет,https://www.youtube.com/watch?v=kzWEwxnqzFo
34,Әсхәт Әхмәл-Хужа,Әсәйемә,16-25 лет,https://www.youtube.com/watch?v=mbHtVK3Q3P0
35,Мостай Кәрим,Ҡайын япрағы тураһында,старше 25 лет,https://www.youtube.com/watch?v=s-dwFztZHl8
36,Вахитова Светлана,Билдәһеҙ һалдат ҡәбере,старше 25 лет,https://www.youtube.com/watch?v=1-oumalbBJs
37,Мәүлит Ямалетдин,Туғыҙынсы май,старше 25 лет,https://www.youtube.com/watch?v=rhkopKmRoVw
38,Мәлих Харис,Хат,старше 25 лет,https://www.youtube.com/watch?v=XckB7xn0MB4
39,Мостай Кәрим,Билдәһеҙ һалдат,,https://www.youtube.com/watch?v=P_WITausxzw
40,Вахитова Светлана,Билдәһеҙ һалдат ҡәбере,,https://www.youtube.com/watch?v=SXZFwFnEpXs
41,Баязит Бикбай,Ер (отрывок из поэмы),старше 25 лет,https://www.youtube.com/watch?v=uzvIFLmp33M
42,Салауат Юлаев,Тыуған ил,16-25 лет,https://www.youtube.com/watch?v=NtzNosRog4Q
43,Шәихзада Бабич,Халҡым өсөн,старше 25 лет,https://www.youtube.com/watch?v=YrZLcjzdZNQ
44,Мостай Кәрим,Уҡытыусыма,6-10 лет,https://www.youtube.com/watch?v=qwrM6mpjLOM
45,Мостай Кәрим,Ҡыш килгәс,6-10 лет,https://www.youtube.com/watch?v=-koXswSvSmg
46,Зәйнәб Биишева,Башҡорт теле,6-10 лет,https://www.youtube.com/watch?v=dI1d2Q_Ea1s
47,Лилия Сакмар,Батырлык,старше 25 лет,https://www.youtube.com/watch?v=k_Curp11exk
48,Гүзәл Ситдиҡова,Ғаилә байрамы,6-10 лет,https://www.youtube.com/watch?v=1QIjcEFDFF4
49,Фәүзиә Рәхимғолова,Олатайым,0-5 лет,https://www.youtube.com/watch?v=CFcbCLGcfNg
50,Рәми Ғарипов,Сыйырсыҡ,6-10 лет,https://www.youtube.com/watch?v=3dK3-g-xQlM
51,Зульфия Ханнанова,Мин иланым,старше 25 лет,https://www.youtube.com/watch?v=hekZjWMujyM
52,Салавата Абузара,Уфа,11-15 лет,https://www.youtube.com/watch?v=h14-4FIehF4
53,Фәүзиә Рәхимғолова,Матур менән көслө,6-10 лет,https://www.youtube.com/watch?v=wmVmGZA3BKc
54,Гульфия Юнусова,Башкортостан,6-10 лет,https://www.youtube.com/watch?v=WwEI1-K79N4
55,Зәйнәб Биишева,Башҡорт теле,старше 25 лет,https://www.youtube.com/watch?v=bKsjwHEQUyA
56,Рәсимә Ураҡсина,Башкортостан - баш илем,6-10 лет,https://www.youtube.com/watch?v=mfpeu02EXH8
57,Рәми Ғарипов,Яндырылған хаттар,5-10 лет,https://www.youtube.com/watch?v=Z2sAYO21Dmw
58,Мостай Кәрим,Ҡайын япрағы тураһында,старше 25 лет,https://www.youtube.com/watch?v=YLXtsWBjT9g
59,Минигуль Хисмәтуллина,Безнең гаилә,6-10 лет,https://www.youtube.com/watch?v=lutY2Ktq53g
60,Сафуан Әлибаев,Турғай,6-10 лет,https://www.youtube.com/watch?v=RWDmHHqTr08
61,Рафаэль Сафин,Ҡыр ҡаҙҙары,старше 25 лет,https://www.youtube.com/watch?v=gVjdmynpnTE
62,Зәйнәб Биишева,Башҡорт теле,старше 25 лет,https://www.youtube.com/watch?v=ROvTcWR9FOo
63,Мостай Кәрим,Ҡайын япрағы тураһында,старше 25 лет,https://www.youtube.com/watch?v=hmf1q0UatT0
64,Мостай Кәрим,Ҡайын япрағы тураһында,16-25 лет,https://www.youtube.com/watch?v=G7FertnR5UU
65,Рәми Ғарипов,Тыуған тел,6-11 лет,https://www.youtube.com/watch?v=saBUryia8TM
66,Зәйнәб Биишева,Башҡорт теле,старше 25 лет,https://www.youtube.com/watch?v=DPOAyZ1WhQ0
67,собственное сочинение,Күңелем ынйылары,старше 25 лет,https://www.youtube.com/watch?v=UwuC69JftG4
68,Абдулхаҡ Игебаев,Тыуган ер,6-10 лет,https://www.youtube.com/watch?v=NK9PstD25dA
69,Абдулхаҡ Игебаев,"Һау булығыҙ, аҡҡоштар",6-10 лет,https://www.youtube.com/watch?v=G5fLyVSgADc
70,Рафаэль Сафин,Тол ҡатындар һәм аяҡһыҙҙар бейеүе,старше 25 лет,https://www.youtube.com/watch?v=oD0kTPlSMKU
71,Мостай Кәрим,Уҡытыусыма,старше 25 лет,https://www.youtube.com/watch?v=v6MkQEhALyE
72,Рәми Ғарипов,Башҡорт теле,16-25 лет,https://www.youtube.com/watch?v=D3bIzwiW3m8
73,Шәихзада Бабич,Ҡурайҡайға,16-25 лет,https://www.youtube.com/watch?v=neeOzOl2Csc
74,Шәихзада Бабич,Кышкы юлда,11-15 лет,https://www.youtube.com/watch?v=MRZ7HmA-SHQ
75,Абдулхаҡ Игебаев,Курай,0-5 лет,https://www.youtube.com/watch?v=aA2rSuJLaZs
76,Рәми Ғарипов,Тыуған тел,16-25 лет,https://www.youtube.com/watch?v=gTzQIpctfss
77,Рәми Ғарипов,Ниңә өндәшмәйһең?,6-10 лет,https://www.youtube.com/watch?v=EW6H24yj2v8
78,Рәми Ғарипов,Сыйырсыҡ,0-5 лет,https://www.youtube.com/watch?v=QTpSbLMaE6M
79,Рафаэль Сафин,Торналар осканда,старше 25 лет,https://www.youtube.com/watch?v=VJI4HhykIxM
80,Рәми Ғарипов,Тыуған тел,6-10 лет,https://www.youtube.com/watch?v=Gkwrkz88Sww
81,Фәүзиә Рәхимғолова,Матур менән көслө,6-10 лет,https://www.youtube.com/watch?v=2gCMTh1tM2E
82,Кәтибә Кинйәбулатова,Барыһы бар,6-10 лет,https://www.youtube.com/watch?v=1nTrJppSjxI
83,Риф Мифтахов,Бергә йыйһаң,16-25 лет,https://www.youtube.com/watch?v=yucB2Or1yIY
84,Зәйнәб Биишева,Башҡорт теле,старше 25 лет,https://www.youtube.com/watch?v=dZQeAytFgXA
85,Рәми Ғарипов,Тейен,6-10 лет,https://www.youtube.com/watch?v=mfkkqA5wvKg
86,Рәми Ғарипов,Тыуған тел,старше 25 лет,https://www.youtube.com/watch?v=QTfntVjoDm8
87,Рәми Ғарипов,Тыуған тел,0-5 лет,https://www.youtube.com/watch?v=7_IHGvjaCY4
88,Рәми Ғарипов,Инәкәйем! Мин алдараҡ китһәм...,старше 25 лет,https://www.youtube.com/watch?v=iL8iqqKpZ14
89,Равиль Нигматуллин,Башкортостан,6-10 лет,https://www.youtube.com/watch?v=a9_Nek4AoOc
90,Альфия Асадуллина,Башҡортостан флагы,6-10 лет,https://www.youtube.com/watch?v=0JOuoTzWzng
91,Мостай Кәрим,"Мин фронтҡа китәм, иптәштәр!",11-15 лет,https://www.youtube.com/watch?v=3sD-AmqB3ss
92,Зәйнәб Биишева,Дан һиңә тыуған илем,6-10 лет,https://www.youtube.com/watch?v=GuJ5a2lxkmM
93,Мостай Кәрим,Үҙемә әйткән һүҙ,старше 25 лет,https://www.youtube.com/watch?v=UlKAxXghIvQ
94,Мостай Кәрим,Уҡытыусыма,11-15 лет,https://www.youtube.com/watch?v=NnFfe-hy7Zo
95,Рашит Шакур,"Ерем, илем, телем",11-15 лет,https://www.youtube.com/watch?v=LJFDSreNUcI
96,Рамиль Янбеков,"Мәңге йәшә, Башҡортостан!",6-10 лет,https://www.youtube.com/watch?v=kH1W431hipM
97,Абдулхаҡ Игебаев,Әсә күңеле,0-5 лет,https://www.youtube.com/watch?v=B-WxVZlnq7s
98,Мостай Кәрим,Билдәһеҙ һалдат,6-10 лет,https://www.youtube.com/watch?v=FiNG9ibxNZw
99,Рауил Бикбаев,Халҡыма хат,6-10 лет,https://www.youtube.com/watch?v=dpEX9tsCsXY
100,Гүзәл Ситдиҡова,"Әй ашыҡтың ,әсәй...",старше 25 лет,https://www.youtube.com/watch?v=dTy_awzFwBo
101,Рәми Ғарипов,Йырҙарыма ҡайтам,старше 25 лет,https://www.youtube.com/watch?v=JprE968YUdQ
102,Мостай Кәрим,"Рус түгелмен, ләкин россиян мин",старше 25 лет,https://www.youtube.com/watch?v=WLFb7M65Vzs
103,Хәниф Кәрим,Түктермәгез күҙ йәшкәйен,старше 25 лет,https://www.youtube.com/watch?v=CB-9q5wgnlw
104,Салауат Юлаев,Уралым,16-25 лет,https://www.youtube.com/watch?v=-Xm26DE36Tg
105,Абдулхаҡ Игебаев,Курай,6-10 лет,https://www.youtube.com/watch?v=2gz4AVs0oMU
106,Әнгам Атнабаев,Кара икмәк,старше 25 лет,https://www.youtube.com/watch?v=jPjSQFEX3os
107,Акмулла Камалетдинов,Башкортостан,старше 25 лет,https://www.youtube.com/watch?v=d7Ad2xrTgUg
108,Акмулла Камалетдинов,Башкортостан,16-25 лет,https://www.youtube.com/watch?v=wJwvy5rzFyk
109,Ф.Туғыҙбаева,Башкортостан,11-15 лет,https://www.youtube.com/watch?v=CMYSqtfiAm0
110,Шәихзада Бабич,Ал данур сәсхалҡыңа,0-5 лет,https://www.youtube.com/watch?v=BCzcppLNj28
111,Гульфия Юнусова,Байрам,0-5 лет,https://www.youtube.com/watch?v=qQegROhiN_A
112,Шәихзада Бабич,"Эй,китап!",6-10 лет,https://www.youtube.com/watch?v=ikq6-7YXCFQ
113,Рауил Бикбаев,Иң беренсе мөғжизә,6-10 лет,https://www.youtube.com/watch?v=CUs6r2epa8k
114,Рауил Бикбаев,Иң беренсе мөғжизә,6-10 лет,https://www.youtube.com/watch?v=ekzPsa7wPyM
115,Шәихзада Бабич,Халҡым өсөн,0-5 лет,https://www.youtube.com/watch?v=BDPsKug8dTM
116,Гульфия Юнусова,Табын,5 лет,https://www.youtube.com/watch?v=x5lOf41JfJo
117,Риф Мифтахов,Бергә йыйһаң,0-5 лет,https://www.youtube.com/watch?v=Ar4vXKI3PkY
118,Р.Лоҡманов,Өләсәйҙән бер һабаҡ,старше 25 лет,https://www.youtube.com/watch?v=6dlJ1WvtA44
119,Рәми Ғарипов,Башҡорт теле,старше 25 лет,https://www.youtube.com/watch?v=xHemNEc6VR0
120,Мостай Кәрим,"Бөтәһе лә ябай, асыҡ…",старше 25 лет,https://www.youtube.com/watch?v=pulox_wptdY
121,Салауат Юлаев,Тыуған илем,6-10 лет,https://www.youtube.com/watch?v=FQBIVZl7qTQ
122,Мостай Кәрим,Уҡытыусыма,6-10 лет,https://www.youtube.com/watch?v=LMubz_JwoG0
123,Абдулхаҡ Игебаев,"Һай, тыуған ер, ғәзиз ер!",6-10 лет,https://www.youtube.com/watch?v=lbYWXpTBMaI
124,Зәйнәб Биишева,Башҡорт теле,,https://www.youtube.com/watch?v=HmTIEq2o2BM
125,Рауил Бикбаев,Сәскәтөбәк,старше 25 лет,https://www.youtube.com/watch?v=QBgUGfiBOAs
126,Мостай Кәрим,Акмуллага,11-16 лет,https://www.youtube.com/watch?v=3nr850uEdvw
127,Мостай Кәрим,Улмасбай мажаралары,0-5 лет,https://www.youtube.com/watch?v=cpEPvEznGnM
128,Тимер Арыҫлан,Рәхмәт әсәйҙәргә,6-10 лет,https://www.youtube.com/watch?v=8w2Jje2kNXw
129,Рәйсә Абдуллина,Әсәйемә,16-25 лет,https://www.youtube.com/watch?v=Zlp_AWB7cAU
130,Г. Ситдиков,Яратам,0-5 лет,https://www.youtube.com/watch?v=-nquIIkxPXI
131,Рашит Шакур,"Ерем, илем, телем",0-5 лет,https://www.youtube.com/watch?v=RYr6FhOSWwI
132,Рәми Ғарипов,Иртә,,https://www.youtube.com/watch?v=FT2JfHKheNM
133,Ринат Хәйри,Бәхәс,,https://www.youtube.com/watch?v=Bfgh6ishVCo
134,Рауил Бикбаев,Вокзал (отрывок из поэмы),16-  25 лет,https://www.youtube.com/watch?v=4TftYAy8Y1A
135,Кубаир,Әсә йөрәге,старше 25 лет,https://www.youtube.com/watch?v=6IrJwNO3FP4
136,Мәлих Харис,Хат,,https://www.youtube.com/watch?v=Y0TWuQn4YMU
137,Рәми Ғарипов,Тыуған тел,,https://www.youtube.com/watch?v=PBIIUzKxdnQ
138,Рәми Ғарипов,Егерме йыл үткәс...,,https://www.youtube.com/watch?v=e3IhHOw1imE
139,Азат Каримов,Тыуған илем,,https://www.youtube.com/watch?v=fIR4ITThiE8
140,Гариф Гумер,Башҡортостанға,,https://www.youtube.com/watch?v=IYBv4dk3As0
141,Рәсимә Ураҡсина,Әсәй,,https://www.youtube.com/watch?v=AQh1nRsFNuU
142,Салауат Юлаев,Уралым,,https://www.youtube.com/watch?v=r60rg2L0QsU
143,Аҡмулла,"Башҡорттарым, уҡыу кәрәк!",,https://www.youtube.com/watch?v=kosEnyKq6Cg
144,Мостай Кәрим,"Мин фронтка китэм, иптэштэр!",,https://www.youtube.com/watch?v=WYAUTS84qeg
145,Гульфия Юнусова,Башкортостан,,https://www.youtube.com/watch?v=HyPp_mJm3DY
146,Ф.Туғыҙбаева,Башкортостан,,https://www.youtube.com/watch?v=MQzpV8eTtl0
147,Рәми Ғарипов,Тыуған тел,,https://www.youtube.com/watch?v=1Oii0TjGmck
148,Гульфия Юнусова,Башкортостан,,https://www.youtube.com/watch?v=qAaJpKcpvek
149,Гайнан Амири,Ана йореге,,https://www.youtube.com/watch?v=AJNiEGI3EEI
150,Мостай Кәрим,Ҡоштар осорам,,https://www.youtube.com/watch?v=lLs9HgenRjQ
151,Рәми Ғарипов,Башҡорт теле,,https://www.youtube.com/watch?v=qKAiNrY5dkc
152,Мостай Кәрим,"Мин фронтҡа китәм, иптәштәр!",,https://www.youtube.com/watch?v=bpnFiduHo0w
153,Рафаэль Сафин,Ҡыр ҡаҙҙары,,https://www.youtube.com/watch?v=5EjwV6s10FQ
154,Мәжит Ғафури,Гөлдәр баҡсаһында,,https://www.youtube.com/watch?v=b7Zk7DrbrAM
