author,book,records
Q,ashkadar_bezzen_donya_03_12_2025,67
Q,ashkadar_bezzen_donya_05_11_2025,65
Q,ashkadar_bezzen_donya_10_12_2025,148
Q,ashkadar_bezzen_donya_14_01_2026,82
Q,ashkadar_zaman_zani_27_09_25,301
Q,askadar_bezzen_donya_27_05_2026,132
Q,kuraj_apasyk_04_01_2022,201
Q,kuraj_apasyk_05_01_2023,183
Q,yuldash_aybulat_asiklay_12_12_2025,41
Q,yuldash_aybulat_asiklay_26_12_2025,37
Q,yuldash_iman_19_12_25,78
Q,yuldash_kanattar_25_11_25,57
Q,yuldash_salamat_bul_20_11_2025,29
Q,yuldash_un-kanatim_13_04_2026,29
Q,yuldash_un_kanatim_01_12_2025,28
Q,yuldash_un_kanatim_02_02_2026,22
Q,yuldash_un_kanatim_08_12_2025,30
Q,yuldash_un_kanatim_10_11_2025,26
Q,yuldash_yazmishtar_30_01_2026,44
Q1,yuldash_karash_17_12_25,128
Q2,yuldash_karash_17_12_25,26
R,ashkadar_bezzen_donya_03_12_2025,178
R,ashkadar_bezzen_donya_05_11_2025,233
R,ashkadar_bezzen_donya_10_12_2025,300
R,ashkadar_bezzen_donya_14_01_2026,260
R,askadar_bezzen_donya_27_05_2026,365
R,kuraj_apasyk_04_01_2022,281
R,kuraj_apasyk_05_01_2023,399
R,yuldash_iman_19_12_25,46
R,yuldash_karash_17_12_25,372
R,yuldash_salamat_bul_20_11_2025,87
R,yuldash_un-kanatim_13_04_2026,84
R,yuldash_un_kanatim_01_12_2025,55
R,yuldash_un_kanatim_02_02_2026,85
R,yuldash_un_kanatim_08_12_2025,54
R,yuldash_un_kanatim_10_11_2025,50
R,yuldash_yazmishtar_30_01_2026,147
R1,yuldash_aybulat_asiklay_12_12_2025,40
R1,yuldash_aybulat_asiklay_26_12_2025,18
R1,yuldash_kanattar_25_11_25,117
R2,yuldash_aybulat_asiklay_12_12_2025,44
R2,yuldash_aybulat_asiklay_26_12_2025,31
R2,yuldash_kanattar_25_11_25,82
R3,yuldash_aybulat_asiklay_12_12_2025,21
R3,yuldash_aybulat_asiklay_26_12_2025,22
unknown,kuraj_fekerthash_11_11_2025,48
Азат Йыһаншин,kuraj_fekerthash_07_01_2025,55
Айгөл Сәғитова,kuraj_fekerthash_03_07_2025,50
Айтуған Ҡоланчин,kuraj_fekerthash_12_02_2025,51
Алмас Шаммасов,kuraj_fekerthash_12_04_2021,28
Алып барыусы,ashk_beth-don_26_11_2016,44
Алып барыусы,ashkadar_bezzen_donya_28_05_2025,87
Алып барыусы,ashkadar_bezzen_donya_29_09_2025,61
Алып барыусы,asik_studiya_17_01_2024,60
Алып барыусы,asik_studiya_19_01_2024,64
Алып барыусы,asik_studiya_21_02_24,58
Алып барыусы,asik_studiya_22_02_2024,27
Алып барыусы,asik_studiya_23_01_2024,79
Алып барыусы,ataysal_02_05_2023,42
Алып барыусы,ataysal_06_06_2023,38
Алып барыусы,ataysal_11_04_2023,45
Алып барыусы,ataysal_13_06_2023,41
Алып барыусы,ataysal_16_05_2023,35
Алып барыусы,ataysal_23_05_2023,44
Алып барыусы,ataysal_25_04_2023,44
Алып барыусы,ataysal_30_05_2023,34
Алып барыусы,aybulat_asiklay_07_06_2023,25
Алып барыусы,aybulat_asiklay_08_02_2023,27
Алып барыусы,aybulat_asiklay_10_05_2023,24
Алып барыусы,aybulat_asiklay_12_04_2023,34
Алып барыусы,aybulat_asiklay_15_03_2023,29
Алып барыусы,aybulat_asiklay_16_10_2022,6
Алып барыусы,aybulat_asiklay_19_10_2022,42
Алып барыусы,baschkorttar_06_03_2023,32
Алып барыусы,igad_portret_14_09_2012,51
Алып барыусы,igad_portret_19_07_2022,44
Алып барыусы,igad_portret_22_05_2015,85
Алып барыусы,igad_portret_26_06_2023,87
Алып барыусы,Il-tarichi_15_07_2020,65
Алып барыусы,kanattar_14_06_2023,39
Алып барыусы,kanattar_17_05_2023,45
Алып барыусы,kanattar_18_01_2023,55
Алып барыусы,kanattar_19_04_2023,63
Алып барыусы,kanattar_22_03_2023,61
Алып барыусы,kiske_Ufa_29_03_23,77
Алып барыусы,kotmaganda_13_11_20,29
Алып барыусы,kotmaganda_25_07_2020,60
Алып барыусы,kotmaganda_26_10_2020,18
Алып барыусы,kotmaganda_26_12_2022,12
Алып барыусы,kotmaganda_28_09_2020,41
Алып барыусы,kuraj_ile_08_11_2021,115
Алып барыусы,laik_12_09_2022,59
Алып барыусы,makhsus_reportaj_16_04_2023,82
Алып барыусы,minen_ufa_08_09_2021,36
Алып барыусы,reportage_22_05_2023,30
Алып барыусы,reportaj_18_05_2013,44
Алып барыусы,reportaje_16_04_2023,36
Алып барыусы,sakmatash_03_10_2021 (1),66
Алып барыусы,sakmatash_09_10_2021,65
Алып барыусы,sakmatash_12_09_2021,43
Алып барыусы,salamat_bul_01_06_2023,23
Алып барыусы,Salamat_bul_15_06_2023,27
Алып барыусы,salamat_bul_18_05_2023,26
Алып барыусы,salamat_bul_25_05_2023,24
Алып барыусы,telhoyar_03_06_2023,36
Алып барыусы,telhoyar_10_06_2023,37
Алып барыусы,telhoyar_27_05_2023,31
Алып барыусы,uldash_asykstudia_12_10_2023,61
Алып барыусы,yachau_yame_28_05_2023,37
Алып барыусы,yuldadh_telhoyar_11_12_2024,39
Алып барыусы,yuldash_aksa_hana_02_07_2024,30
Алып барыусы,yuldash_aksa_hana_04_06_2024,29
Алып барыусы,yuldash_aksa_hana_18_06_2024,29
Алып барыусы,yuldash_aksa_hana_21_05_2024,46
Алып барыусы,yuldash_asik_studiya_02_04_2024,117
Алып барыусы,yuldash_asik_studiya_04_04_2024,96
Алып барыусы,yuldash_asik_studiya_16_10_2024,121
Алып барыусы,yuldash_asik_studiya_18_10_24,116
Алып барыусы,yuldash_asik_studiya_21_06_2024,17
Алып барыусы,yuldash_asik_studiya_26_06_2024,181
Алып барыусы,yuldash_asik_studiya_29_04_2024,158
Алып барыусы,yuldash_ataysal_10_03_2025,25
Алып барыусы,yuldash_ataysal_10_09_2024,44
Алып барыусы,yuldash_ataysal_14_11_2023,49
Алып барыусы,yuldash_ataysal_26_08_2024,35
Алып барыусы,yuldash_aybulat_asiklay_02_07_2024,73
Алып барыусы,yuldash_aybulat_asiklay_13_11_2024,27
Алып барыусы,yuldash_aybulat_asiklay_19_08_2024,48
Алып барыусы,yuldash_aybulat_asiklay_23_09_2024,51
Алып барыусы,yuldash_iman_12_07_2013,110
Алып барыусы,yuldash_iman_12_09_2025,80
Алып барыусы,yuldash_kanattar_03_09_2024,54
Алып барыусы,yuldash_kanattar_14_05_2024,70
Алып барыусы,yuldash_kanattar_17_09_2024,53
Алып барыусы,yuldash_kanattar_20_08_2024,42
Алып барыусы,yuldash_kanattar_28_05_2024,62
Алып барыусы,yuldash_karash_21_08_2024,5
Алып барыусы,yuldash_machsus_reportaj_14_05_2025,146
Алып барыусы,yuldash_mcho_10_07_2024,41
Алып барыусы,yuldash_mcho_23_07_2024,153
Алып барыусы,yuldash_salamat_bul_01_12_2024,25
Алып барыусы,yuldash_salamat_bul_04_07_2024,35
Алып барыусы,yuldash_salamat_bul_05_09_2024,27
Алып барыусы,yuldash_salamat_bul_07_11_2024,17
Алып барыусы,yuldash_salamat_bul_08_12_2024,39
Алып барыусы,yuldash_salamat_bul_09_01_2025,29
Алып барыусы,yuldash_salamat_bul_11_02_2025,28
Алып барыусы,yuldash_salamat_bul_13_02_2025,18
Алып барыусы,yuldash_salamat_bul_16_01_2025,22
Алып барыусы,yuldash_salamat_bul_19_09_2024,39
Алып барыусы,yuldash_salamat_bul_22_08_2024,27
Алып барыусы,yuldash_salamat_bul_23_01_2025,17
Алып барыусы,yuldash_salamat_bul_27_06_2024,22
Алып барыусы,yuldash_salamat_bul_29_08_2024,31
Алып барыусы,yuldash_salamat_bul_30_01_2025,23
Алып барыусы,yuldash_telhoyar_01_02_2025,34
Алып барыусы,yuldash_telhoyar_04_01_2025,39
Алып барыусы,yuldash_telhoyar_11_01_2025,29
Алып барыусы,yuldash_telhoyar_15_09_2024,41
Алып барыусы,yuldash_telhoyar_16_11_2024,44
Алып барыусы,yuldash_telhoyar_18_01_2025,37
Алып барыусы,yuldash_telhoyar_23_11_2024,30
Алып барыусы,yuldash_telhoyar_24_08_2024,32
Алып барыусы,yuldash_telhoyar_25_01_2025,39
Алып барыусы,yuldash_telhoyar_30_11_2024,39
Алып барыусы,yuldash_telhoyar_31_08_2024,38
Алып барыусы,yuldash_telyoyar_07_12_2024,29
Алып барыусы 1,aybulat_asiklay_16_10_2022,31
Алып барыусы 1,irtange_kunak_02_03_2021,40
Алып барыусы 1,irtange_kunak_12_01_2021,20
Алып барыусы 1,irtange_kunak_25_02_2021,54
Алып барыусы 1,kanattar_18_01_2023,3
Алып барыусы 1,karasch_04_10_2021,122
Алып барыусы 1,karasch_07_07_2021,107
Алып барыусы 1,karasch_20_10_2021,102
Алып барыусы 1,karash_01_02_2023,115
Алып барыусы 1,karash_01_03_2023,56
Алып барыусы 1,karash_03_05_2023,63
Алып барыусы 1,karash_04_01_2023,73
Алып барыусы 1,karash_05_04_2023,54
Алып барыусы 1,tege3_04_03_2022,21
Алып барыусы 1,yuldasch_karasch_19_02_2025,88
Алып барыусы 1,yuldasch_karasch_22_01_2025,124
Алып барыусы 1,yuldash_karash_07_08_2024,205
Алып барыусы 1,yuldash_karash_17_07_2024,131
Алып барыусы 1,yuldash_karash_21_05_2025,155
Алып барыусы 1,yuldash_karash_21_08_2024,130
Алып барыусы 1,yuldash_karash_22_05_2024,226
Алып барыусы 1,yuldash_kuperzar_26_06_2024,76
Алып барыусы 1,yuldash_tege3_10_12_20,43
Алып барыусы 1,yuldashta_kunakta_17_12_2020,56
Алып барыусы 2,aybulat_asiklay_16_10_2022,8
Алып барыусы 2,irtange_kunak_02_03_2021,13
Алып барыусы 2,irtange_kunak_12_01_2021,9
Алып барыусы 2,irtange_kunak_25_02_2021,21
Алып барыусы 2,karasch_04_10_2021,21
Алып барыусы 2,karasch_07_07_2021,18
Алып барыусы 2,karasch_20_10_2021,12
Алып барыусы 2,karash_01_02_2023,26
Алып барыусы 2,karash_01_03_2023,22
Алып барыусы 2,karash_03_05_2023,26
Алып барыусы 2,karash_04_01_2023,26
Алып барыусы 2,karash_05_04_2023,18
Алып барыусы 2,tege3_04_03_2022,56
Алып барыусы 2,yuldasch_karasch_19_02_2025,29
Алып барыусы 2,yuldasch_karasch_22_01_2025,26
Алып барыусы 2,yuldash_karash_07_08_2024,17
Алып барыусы 2,yuldash_karash_17_07_2024,28
Алып барыусы 2,yuldash_karash_21_05_2025,28
Алып барыусы 2,yuldash_karash_21_08_2024,16
Алып барыусы 2,yuldash_karash_22_05_2024,23
Алып барыусы 2,yuldash_kuperzar_26_06_2024,25
Алып барыусы 2,yuldash_tege3_10_12_20,20
Алып барыусы 2,yuldashta_kunakta_17_12_2020,42
Алып барыусы 3,irtange_kunak_02_03_2021,9
Алып барыусы 3,irtange_kunak_12_01_2021,7
Алып барыусы 3,irtange_kunak_25_02_2021,24
Алып барыусы 3,tege3_04_03_2022,11
Алып барыусы 3,yuldash_kuperzar_26_06_2024,18
Алып барыусы 3,yuldash_tege3_10_12_20,10
Алып барыусы 3,yuldashta_kunakta_17_12_2020,26
Алып барыусы 4,yuldash_kuperzar_26_06_2024,53
Алып барыусы2,yuldash_karash_07_08_2024,9
бәйтулла фәткуллин,ataysal_06_06_2023,11
Венера Юлгилдина,kuraj_fekerthash_12_06_2021,43
гүзәл вилданова,igad_portret_14_09_2012,28
Гүзәл Вилданова,kuraj_fekerthash_05_01_2025,59
гүзәл зарипова,laik_12_09_2022,2
Гөлнур Нәбиуллина,kuraj_fekerthash_03_02_2025,37
Гөлнур Хөсәйенова,kuraj_fekerthash_02_04_2025,52
Гөлфирә Абдуллина,kuraj_fekerthash_09_09_2025,49
Зифа Дәүләтбаева,kuraj_fekerthash_03_03_2025,46
Зәкирйән Әминев,kuraj_fekerthash_08_06_2025,73
зөлфиә рәхмәтуллина,igad_portret_26_06_2023,3
ирек амантаев,ashk_beth-don_02_02_2023,95
Йәмилә Бикбаева,kuraj_fekerthash_10_09_2025,30
марат зөлҡәрнәйев,minen_ufa_08_09_2021,2
Менәүәрә Мәҡсүтова,kuraj_fekerthash_11_01_2021,46
Миләүшә Ҡаһарманова,reportage_22_05_2023,6
Рита Өмөтбаева,kuraj_apasyk_07_02_2023,102
рәсимә шакирова,ashk_beth-don_02_02_2023,16
Рәсүл Сәғитов,kuraj_fekerthash_03_01_2020,87
рәшит шәйхисламов,ashk_beth-don_26_11_2016,12
Салауат Мөхәмәтйәров,kuraj_fekerthash_12_03_2025,32
Суфия Ҡорбанғәлиева,kuraj_fekerthash_12_07_2020,69
Сәйҙә Ильясова,kuraj_fekerthash_04_01_2025,49
Таңсулпан Бабичева,kuraj_apasyk_07_02_2023,189
Таңсулпан Ғарипова,kuraj_fekerthash_12_08_2025,55
